upi_id,customer_id,bank_name,account_type,date_added,status,account_age_days,cleaning_status
howard8214@upi,cust109891,Kotak,Credit_Card_Linked,2022-12-07,Active,1063,Cleaned and Validated
walter5491@upi,cust105686,Sbi,Credit_Card_Linked,2025-02-18,Active,259,Cleaned and Validated
angela8577@upi,cust108864,Icici,Current,2022-04-21,Active,1293,Cleaned and Validated
mrs.8483@upi,cust106621,Axis,Credit_Card_Linked,2024-02-02,Active,641,Cleaned and Validated
daniel8497@upi,cust102046,Axis,Savings,2023-11-29,Active,706,Cleaned and Validated
margaret5324@upi,cust109685,Icici,Current,2025-04-20,Active,198,Cleaned and Validated
robert2919@upi,cust101252,Hdfc,Credit_Card_Linked,2022-09-28,Blocked,1133,Cleaned and Validated
michael9931@upi,cust109580,Kotak,Current,2023-02-24,Active,984,Cleaned and Validated
karen3250@upi,cust100144,Axis,Savings,2025-04-23,Blocked,195,Cleaned and Validated
jesse7774@upi,cust104949,Icici,Savings,2025-02-04,Active,273,Cleaned and Validated
kathryn6686@upi,cust103099,Hdfc,Savings,2024-10-27,Active,373,Cleaned and Validated
andrew7688@upi,cust100155,Hdfc,Credit_Card_Linked,2023-12-24,Active,681,Cleaned and Validated
charles8327@upi,cust107704,Icici,Current,2025-02-13,Active,264,Cleaned and Validated
sarah4174@upi,cust101778,Sbi,Credit_Card_Linked,2023-04-06,Active,943,Cleaned and Validated
terri7990@upi,cust100358,Icici,Current,2024-10-14,Active,386,Cleaned and Validated
richard6307@upi,cust100142,Pnb,Current,2024-01-18,Active,656,Cleaned and Validated
marcus4564@upi,cust109279,Hdfc,Savings,2022-10-06,Active,1125,Cleaned and Validated
crystal1462@upi,cust102087,Kotak,Current,2022-05-24,Active,1260,Cleaned and Validated
jonathon3300@upi,cust107247,Kotak,Current,2023-06-04,Active,884,Cleaned and Validated
adam4804@upi,cust101281,Hdfc,Credit_Card_Linked,2024-09-16,Active,414,Cleaned and Validated
melissa8609@upi,cust105310,Axis,Credit_Card_Linked,2023-04-05,Active,944,Cleaned and Validated
karen5304@upi,cust100144,Sbi,Current,2025-03-13,Active,236,Cleaned and Validated
andrea5124@upi,cust103725,Kotak,Credit_Card_Linked,2025-07-29,Active,98,Cleaned and Validated
sharon1859@upi,cust105652,Pnb,Savings,2025-02-11,Active,266,Cleaned and Validated
angela4871@upi,cust107334,Icici,Savings,2024-10-17,Active,383,Cleaned and Validated
meghan4963@upi,cust103059,Icici,Current,2023-01-26,Active,1013,Cleaned and Validated
sarah4593@upi,cust108482,Icici,Savings,2025-04-15,Active,203,Cleaned and Validated
valerie9489@upi,cust107853,Hdfc,Current,2022-11-08,Active,1092,Cleaned and Validated
diane2875@upi,cust104105,Axis,Credit_Card_Linked,2021-10-31,Active,1465,Cleaned and Validated
jonathan6452@upi,cust106320,Axis,Savings,2024-05-23,Active,530,Cleaned and Validated
michelle4180@upi,cust103165,Icici,Current,2025-02-12,Active,265,Cleaned and Validated
tony5102@upi,cust104198,Icici,Current,2025-04-19,Active,199,Cleaned and Validated
teresa7665@upi,cust102382,Axis,Current,2024-05-23,Active,530,Cleaned and Validated
angela4788@upi,cust101208,Kotak,Credit_Card_Linked,2025-01-31,Active,277,Cleaned and Validated
julie7874@upi,cust106131,Kotak,Savings,2022-08-16,Active,1176,Cleaned and Validated
christy8914@upi,cust109248,Pnb,Savings,2023-10-08,Active,758,Cleaned and Validated
lauren2212@upi,cust109265,Kotak,Savings,2024-12-25,Active,314,Cleaned and Validated
kenneth8317@upi,cust105028,Axis,Current,2023-03-27,Active,953,Cleaned and Validated
ethan7081@upi,cust106357,Pnb,Savings,2025-06-06,Active,151,Cleaned and Validated
paul6671@upi,cust100525,Kotak,Credit_Card_Linked,2025-06-18,Active,139,Cleaned and Validated
joseph4837@upi,cust102377,Sbi,Current,2025-07-17,Active,110,Cleaned and Validated
darlene9360@upi,cust101120,Hdfc,Savings,2024-08-23,Active,438,Cleaned and Validated
dean8320@upi,cust104951,Icici,Credit_Card_Linked,2025-05-23,Active,165,Cleaned and Validated
jerome8423@upi,cust106476,Kotak,Current,2021-06-19,Active,1599,Cleaned and Validated
karen3242@upi,cust101167,Axis,Savings,2024-06-20,Active,502,Cleaned and Validated
jerry9883@upi,cust101918,Axis,Savings,2025-08-01,Active,95,Cleaned and Validated
lisa1791@upi,cust101933,Axis,Savings,2024-09-19,Active,411,Cleaned and Validated
stephen3742@upi,cust103385,Kotak,Current,2022-01-10,Suspended,1394,Cleaned and Validated
sabrina6797@upi,cust103531,Kotak,Credit_Card_Linked,2025-04-02,Active,216,Cleaned and Validated
joseph3140@upi,cust103930,Pnb,Savings,2021-07-06,Active,1582,Cleaned and Validated
brenda1770@upi,cust107293,Icici,Savings,2024-01-15,Active,659,Cleaned and Validated
mrs.4449@upi,cust109997,Kotak,Current,2024-05-11,Active,542,Cleaned and Validated
tammy5187@upi,cust106605,Kotak,Current,2025-06-23,Active,134,Cleaned and Validated
christopher4915@upi,cust104853,Sbi,Savings,2024-04-16,Active,567,Cleaned and Validated
francisco1470@upi,cust109579,Pnb,Current,2024-06-28,Active,494,Cleaned and Validated
lori4637@upi,cust104928,Axis,Credit_Card_Linked,2023-07-05,Active,853,Cleaned and Validated
alexis7507@upi,cust109156,Axis,Current,2025-04-04,Active,214,Cleaned and Validated
alexis6197@upi,cust102442,Sbi,Current,2022-04-27,Active,1287,Cleaned and Validated
brianna5091@upi,cust101384,Axis,Credit_Card_Linked,2025-06-25,Active,132,Cleaned and Validated
steven8346@upi,cust107169,Kotak,Current,2024-11-14,Active,355,Cleaned and Validated
jennifer2797@upi,cust106718,Hdfc,Current,2022-12-03,Active,1067,Cleaned and Validated
keith7268@upi,cust100031,Sbi,Credit_Card_Linked,2024-11-28,Active,341,Cleaned and Validated
kevin2223@upi,cust105129,Icici,Savings,2024-05-09,Active,544,Cleaned and Validated
james9118@upi,cust100281,Sbi,Credit_Card_Linked,2022-09-11,Active,1150,Cleaned and Validated
nicole3622@upi,cust101767,Hdfc,Current,2024-02-06,Active,637,Cleaned and Validated
jacob6608@upi,cust103641,Icici,Current,2025-07-07,Active,120,Cleaned and Validated
michelle6814@upi,cust103946,Kotak,Current,2025-07-20,Active,107,Cleaned and Validated
ryan8192@upi,cust105879,Hdfc,Credit_Card_Linked,2023-09-28,Active,768,Cleaned and Validated
warren6820@upi,cust103835,Sbi,Credit_Card_Linked,2021-08-27,Active,1530,Cleaned and Validated
jamie6435@upi,cust107143,Sbi,Current,2024-12-28,Active,311,Cleaned and Validated
ryan4135@upi,cust102593,Axis,Credit_Card_Linked,2021-04-13,Active,1666,Cleaned and Validated
james5037@upi,cust100290,Hdfc,Savings,2024-10-07,Active,393,Cleaned and Validated
brenda7634@upi,cust100259,Pnb,Current,2023-03-31,Suspended,949,Cleaned and Validated
kimberly1052@upi,cust109371,Hdfc,Savings,2025-07-19,Active,108,Cleaned and Validated
lisa8260@upi,cust100240,Pnb,Savings,2024-05-24,Active,529,Cleaned and Validated
jonathan4913@upi,cust101130,Pnb,Credit_Card_Linked,2024-12-02,Active,337,Cleaned and Validated
terry3130@upi,cust102842,Axis,Savings,2023-04-10,Active,939,Cleaned and Validated
jennifer2213@upi,cust100926,Kotak,Current,2024-01-28,Active,646,Cleaned and Validated
michael4713@upi,cust107040,Hdfc,Savings,2022-03-18,Active,1327,Cleaned and Validated
david3597@upi,cust101901,Hdfc,Current,2025-06-20,Active,137,Cleaned and Validated
cynthia3591@upi,cust107718,Sbi,Credit_Card_Linked,2023-12-10,Active,695,Cleaned and Validated
maria5404@upi,cust107096,Hdfc,Credit_Card_Linked,2023-08-13,Active,814,Cleaned and Validated
amanda9729@upi,cust106816,Sbi,Savings,2022-03-24,Active,1321,Cleaned and Validated
mia5926@upi,cust104817,Pnb,Savings,2024-11-01,Active,368,Cleaned and Validated
maria2573@upi,cust108676,Sbi,Credit_Card_Linked,2024-12-16,Active,323,Cleaned and Validated
ashley1906@upi,cust100131,Sbi,Current,2022-11-28,Active,1072,Cleaned and Validated
april5639@upi,cust107924,Kotak,Current,2024-05-31,Blocked,522,Cleaned and Validated
sherry4305@upi,cust109934,Axis,Credit_Card_Linked,2024-02-08,Active,635,Cleaned and Validated
shelley2250@upi,cust101819,Pnb,Savings,2025-07-22,Active,105,Cleaned and Validated
amber8426@upi,cust102694,Pnb,Credit_Card_Linked,2023-01-01,Active,1038,Cleaned and Validated
ashley3971@upi,cust101722,Axis,Credit_Card_Linked,2024-01-15,Active,659,Cleaned and Validated
gregory2983@upi,cust104175,Pnb,Current,2021-08-31,Active,1526,Cleaned and Validated
bridget6639@upi,cust109499,Axis,Savings,2022-10-03,Active,1128,Cleaned and Validated
mrs.1963@upi,cust109224,Kotak,Current,2024-12-30,Blocked,309,Cleaned and Validated
robert9231@upi,cust104897,Icici,Savings,2023-01-08,Active,1031,Cleaned and Validated
jacqueline2141@upi,cust107222,Sbi,Savings,2025-03-28,Active,221,Cleaned and Validated
brett1705@upi,cust106024,Icici,Savings,2025-07-16,Active,111,Cleaned and Validated
stacy5537@upi,cust103333,Pnb,Savings,2022-03-06,Active,1339,Cleaned and Validated
keith4767@upi,cust100031,Icici,Current,2024-04-04,Active,579,Cleaned and Validated
luis3236@upi,cust107698,Axis,Credit_Card_Linked,2024-05-02,Active,551,Cleaned and Validated
daniel6417@upi,cust106441,Axis,Savings,2024-04-14,Active,569,Cleaned and Validated
michelle2626@upi,cust107223,Hdfc,Savings,2022-08-17,Active,1175,Cleaned and Validated
hannah9596@upi,cust103906,Pnb,Current,2025-03-20,Active,229,Cleaned and Validated
brandon6078@upi,cust102485,Axis,Savings,2024-09-24,Active,406,Cleaned and Validated
james8149@upi,cust102536,Axis,Credit_Card_Linked,2025-06-04,Active,153,Cleaned and Validated
maria6225@upi,cust102930,Hdfc,Credit_Card_Linked,2025-05-01,Active,187,Cleaned and Validated
craig2518@upi,cust104840,Axis,Current,2025-03-30,Active,219,Cleaned and Validated
george4150@upi,cust100065,Hdfc,Current,2023-08-27,Active,800,Cleaned and Validated
michael1192@upi,cust109844,Kotak,Credit_Card_Linked,2024-03-03,Active,611,Cleaned and Validated
christine9385@upi,cust103638,Axis,Current,2023-08-22,Active,805,Cleaned and Validated
cheryl5686@upi,cust104377,Sbi,Credit_Card_Linked,2024-01-30,Active,644,Cleaned and Validated
justin2553@upi,cust108478,Hdfc,Savings,2023-01-04,Active,1035,Cleaned and Validated
beverly6533@upi,cust103651,Pnb,Savings,2025-05-18,Active,170,Cleaned and Validated
mark8295@upi,cust106806,Hdfc,Savings,2024-12-22,Active,317,Cleaned and Validated
vincent6746@upi,cust108840,Kotak,Savings,2025-08-02,Active,94,Cleaned and Validated
ray1548@upi,cust104964,Hdfc,Current,2025-03-07,Active,242,Cleaned and Validated
nicholas6970@upi,cust103041,Icici,Current,2025-07-14,Active,113,Cleaned and Validated
elijah7647@upi,cust100463,Pnb,Credit_Card_Linked,2023-02-09,Active,999,Cleaned and Validated
steven5032@upi,cust100407,Kotak,Savings,2025-07-22,Active,105,Cleaned and Validated
jonathan7242@upi,cust106340,Hdfc,Credit_Card_Linked,2025-06-12,Suspended,145,Cleaned and Validated
mary1212@upi,cust107319,Hdfc,Savings,2024-06-26,Active,496,Cleaned and Validated
gregory1398@upi,cust104952,Axis,Credit_Card_Linked,2024-12-26,Active,313,Cleaned and Validated
andrea2210@upi,cust100709,Kotak,Current,2024-10-27,Active,373,Cleaned and Validated
mike7608@upi,cust106723,Axis,Credit_Card_Linked,2024-04-03,Active,580,Cleaned and Validated
thomas4612@upi,cust104322,Icici,Credit_Card_Linked,2023-08-12,Active,815,Cleaned and Validated
sherri4455@upi,cust100805,Sbi,Current,2024-04-28,Active,555,Cleaned and Validated
john6877@upi,cust101773,Hdfc,Credit_Card_Linked,2024-01-13,Active,661,Cleaned and Validated
randy7985@upi,cust109389,Axis,Current,2025-04-04,Active,214,Cleaned and Validated
kerry3272@upi,cust105287,Sbi,Credit_Card_Linked,2025-04-06,Blocked,212,Cleaned and Validated
carl7330@upi,cust101273,Axis,Current,2025-05-24,Active,164,Cleaned and Validated
christopher2535@upi,cust104905,Kotak,Savings,2023-10-02,Active,764,Cleaned and Validated
samuel2595@upi,cust107612,Sbi,Credit_Card_Linked,2024-12-02,Active,337,Cleaned and Validated
teresa3194@upi,cust107005,Sbi,Credit_Card_Linked,2023-10-11,Active,755,Cleaned and Validated
amanda5500@upi,cust106535,Hdfc,Credit_Card_Linked,2024-04-02,Active,581,Cleaned and Validated
john5834@upi,cust104831,Pnb,Savings,2025-07-09,Active,118,Cleaned and Validated
michele4162@upi,cust106844,Kotak,Credit_Card_Linked,2025-06-24,Active,133,Cleaned and Validated
mr.7424@upi,cust102338,Sbi,Current,2024-06-09,Active,513,Cleaned and Validated
jessica1945@upi,cust105381,Axis,Current,2023-09-13,Active,783,Cleaned and Validated
timothy1126@upi,cust106077,Sbi,Credit_Card_Linked,2024-07-27,Active,465,Cleaned and Validated
anthony3024@upi,cust103078,Hdfc,Current,2021-10-08,Active,1488,Cleaned and Validated
william5545@upi,cust101362,Hdfc,Credit_Card_Linked,2025-03-28,Active,221,Cleaned and Validated
brian2068@upi,cust102282,Kotak,Credit_Card_Linked,2024-03-28,Active,586,Cleaned and Validated
stephanie7776@upi,cust107084,Sbi,Credit_Card_Linked,2023-01-14,Active,1025,Cleaned and Validated
claudia1706@upi,cust107449,Sbi,Savings,2025-04-04,Suspended,214,Cleaned and Validated
jason6693@upi,cust108183,Axis,Current,2025-07-19,Active,108,Cleaned and Validated
dr.1177@upi,cust107050,Sbi,Credit_Card_Linked,2023-06-17,Active,871,Cleaned and Validated
brian6811@upi,cust100942,Kotak,Savings,2025-05-30,Active,158,Cleaned and Validated
lindsey2898@upi,cust107174,Sbi,Savings,2024-08-17,Suspended,444,Cleaned and Validated
chris4482@upi,cust106623,Kotak,Current,2025-04-19,Active,199,Cleaned and Validated
laura4443@upi,cust100871,Icici,Credit_Card_Linked,2025-07-12,Suspended,115,Cleaned and Validated
ryan2091@upi,cust104114,Sbi,Savings,2023-09-07,Active,789,Cleaned and Validated
cindy4216@upi,cust105913,Pnb,Current,2025-05-27,Active,161,Cleaned and Validated
blake4746@upi,cust107948,Pnb,Credit_Card_Linked,2025-03-24,Active,225,Cleaned and Validated
logan3144@upi,cust106653,Icici,Current,2025-03-18,Active,231,Cleaned and Validated
stephanie9834@upi,cust106862,Hdfc,Current,2025-05-22,Active,166,Cleaned and Validated
ryan5086@upi,cust100834,Hdfc,Credit_Card_Linked,2024-02-09,Active,634,Cleaned and Validated
amber5834@upi,cust100833,Kotak,Credit_Card_Linked,2024-11-24,Active,345,Cleaned and Validated
sandra8178@upi,cust103056,Axis,Savings,2023-06-29,Active,859,Cleaned and Validated
keith3863@upi,cust105514,Axis,Current,2025-06-17,Active,140,Cleaned and Validated
joseph8583@upi,cust107502,Icici,Savings,2024-11-28,Active,341,Cleaned and Validated
james3247@upi,cust103483,Kotak,Savings,2023-01-28,Blocked,1011,Cleaned and Validated
laurie9271@upi,cust106894,Icici,Current,2023-08-30,Active,797,Cleaned and Validated
jennifer3560@upi,cust104330,Axis,Savings,2024-02-08,Active,635,Cleaned and Validated
cynthia3008@upi,cust107411,Sbi,Credit_Card_Linked,2023-09-04,Active,792,Cleaned and Validated
hunter4060@upi,cust106302,Pnb,Savings,2024-08-07,Active,454,Cleaned and Validated
andrew6258@upi,cust107747,Icici,Current,2025-02-13,Active,264,Cleaned and Validated
theresa7108@upi,cust109539,Kotak,Credit_Card_Linked,2023-06-14,Active,874,Cleaned and Validated
paul4277@upi,cust102013,Sbi,Savings,2025-08-03,Active,93,Cleaned and Validated
vanessa9570@upi,cust106644,Axis,Savings,2025-05-05,Active,183,Cleaned and Validated
claudia9312@upi,cust104441,Sbi,Credit_Card_Linked,2024-08-08,Active,453,Cleaned and Validated
cindy3644@upi,cust109695,Pnb,Current,2024-06-26,Active,496,Cleaned and Validated
stephanie4859@upi,cust105323,Hdfc,Savings,2023-06-28,Active,860,Cleaned and Validated
leslie7682@upi,cust100139,Sbi,Current,2023-02-09,Active,999,Cleaned and Validated
catherine4267@upi,cust100232,Icici,Current,2025-02-25,Active,252,Cleaned and Validated
joseph8488@upi,cust102914,Axis,Current,2025-03-30,Active,219,Cleaned and Validated
destiny5198@upi,cust102668,Icici,Current,2024-05-23,Blocked,530,Cleaned and Validated
michael7795@upi,cust105592,Icici,Current,2025-01-20,Active,288,Cleaned and Validated
kevin4638@upi,cust102007,Hdfc,Credit_Card_Linked,2024-06-24,Suspended,498,Cleaned and Validated
michael6653@upi,cust102097,Pnb,Current,2024-06-28,Active,494,Cleaned and Validated
gloria2918@upi,cust101221,Kotak,Credit_Card_Linked,2025-01-30,Active,278,Cleaned and Validated
evelyn7796@upi,cust106998,Axis,Credit_Card_Linked,2023-10-23,Active,743,Cleaned and Validated
carl3453@upi,cust105181,Sbi,Savings,2025-03-18,Active,231,Cleaned and Validated
mary6418@upi,cust106803,Axis,Credit_Card_Linked,2024-07-04,Active,488,Cleaned and Validated
mr.1812@upi,cust107793,Hdfc,Credit_Card_Linked,2025-08-05,Active,91,Cleaned and Validated
david8982@upi,cust107093,Hdfc,Current,2023-12-01,Active,704,Cleaned and Validated
steven1927@upi,cust109919,Axis,Current,2025-06-29,Active,128,Cleaned and Validated
jennifer1596@upi,cust105600,Icici,Savings,2025-07-06,Active,121,Cleaned and Validated
jennifer4895@upi,cust102912,Kotak,Savings,2024-07-09,Active,483,Cleaned and Validated
michael3159@upi,cust106324,Icici,Current,2022-09-25,Active,1136,Cleaned and Validated
jimmy9385@upi,cust100482,Pnb,Current,2023-05-30,Active,889,Cleaned and Validated
ricardo3773@upi,cust107443,Pnb,Credit_Card_Linked,2024-12-04,Active,335,Cleaned and Validated
patricia1733@upi,cust106814,Icici,Credit_Card_Linked,2023-10-07,Active,759,Cleaned and Validated
frank8281@upi,cust100870,Kotak,Credit_Card_Linked,2025-02-28,Active,249,Cleaned and Validated
kimberly8590@upi,cust100621,Sbi,Current,2025-03-22,Active,227,Cleaned and Validated
cindy8446@upi,cust104632,Axis,Savings,2024-09-23,Active,407,Cleaned and Validated
cameron6160@upi,cust109251,Pnb,Savings,2025-06-26,Active,131,Cleaned and Validated
joshua3293@upi,cust106948,Sbi,Credit_Card_Linked,2025-02-15,Active,262,Cleaned and Validated
jessica2450@upi,cust102799,Sbi,Credit_Card_Linked,2024-08-16,Active,445,Cleaned and Validated
jeffery4732@upi,cust100901,Sbi,Current,2025-08-01,Active,95,Cleaned and Validated
kevin9252@upi,cust107543,Kotak,Savings,2025-03-10,Active,239,Cleaned and Validated
jason1226@upi,cust102654,Icici,Credit_Card_Linked,2023-02-27,Active,981,Cleaned and Validated
brent7076@upi,cust108929,Hdfc,Current,2025-06-29,Active,128,Cleaned and Validated
hannah8864@upi,cust106771,Pnb,Credit_Card_Linked,2022-12-28,Active,1042,Cleaned and Validated
cameron1382@upi,cust100726,Axis,Current,2025-08-04,Active,92,Cleaned and Validated
barbara2683@upi,cust101683,Pnb,Savings,2024-01-16,Active,658,Cleaned and Validated
amanda1747@upi,cust108657,Axis,Current,2022-04-07,Active,1307,Cleaned and Validated
angela7559@upi,cust103264,Icici,Savings,2022-04-29,Active,1285,Cleaned and Validated
mary2994@upi,cust100620,Kotak,Credit_Card_Linked,2025-06-24,Active,133,Cleaned and Validated
mrs.5858@upi,cust102292,Sbi,Current,2025-08-04,Active,92,Cleaned and Validated
gabriela4396@upi,cust106202,Icici,Credit_Card_Linked,2021-08-26,Active,1531,Cleaned and Validated
paula6674@upi,cust109376,Pnb,Current,2024-04-09,Active,574,Cleaned and Validated
erika9509@upi,cust100226,Icici,Current,2023-03-15,Active,965,Cleaned and Validated
elizabeth5648@upi,cust100560,Kotak,Credit_Card_Linked,2024-06-08,Active,514,Cleaned and Validated
karen6201@upi,cust108602,Pnb,Savings,2025-03-22,Active,227,Cleaned and Validated
susan2185@upi,cust106205,Pnb,Credit_Card_Linked,2023-11-07,Active,728,Cleaned and Validated
zachary7358@upi,cust101349,Pnb,Credit_Card_Linked,2025-02-07,Active,270,Cleaned and Validated
dr.5431@upi,cust100307,Pnb,Savings,2023-07-16,Active,842,Cleaned and Validated
colton8307@upi,cust108947,Hdfc,Credit_Card_Linked,2024-04-14,Active,569,Cleaned and Validated
emily9877@upi,cust107407,Icici,Savings,2025-08-04,Active,92,Cleaned and Validated
crystal4706@upi,cust108485,Kotak,Savings,2024-08-13,Active,448,Cleaned and Validated
kyle3609@upi,cust104884,Axis,Savings,2025-04-11,Active,207,Cleaned and Validated
brianna7190@upi,cust101904,Icici,Savings,2021-04-04,Active,1675,Cleaned and Validated
albert3658@upi,cust104640,Axis,Savings,2024-09-28,Active,402,Cleaned and Validated
linda6980@upi,cust107048,Sbi,Current,2025-05-14,Active,174,Cleaned and Validated
michele1534@upi,cust104548,Hdfc,Current,2021-08-11,Active,1546,Cleaned and Validated
william8998@upi,cust102162,Sbi,Credit_Card_Linked,2022-04-05,Active,1309,Cleaned and Validated
natalie7362@upi,cust101684,Axis,Savings,2025-07-19,Active,108,Cleaned and Validated
jade3222@upi,cust107732,Hdfc,Savings,2024-09-15,Active,415,Cleaned and Validated
gregory7012@upi,cust102290,Icici,Savings,2024-10-01,Active,399,Cleaned and Validated
theresa3589@upi,cust100696,Kotak,Current,2025-05-14,Active,174,Cleaned and Validated
gregory6907@upi,cust102107,Axis,Credit_Card_Linked,2024-06-02,Active,520,Cleaned and Validated
katrina6737@upi,cust103204,Icici,Current,2025-07-19,Active,108,Cleaned and Validated
william7862@upi,cust102086,Axis,Current,2025-01-18,Blocked,290,Cleaned and Validated
nicholas1419@upi,cust106338,Kotak,Savings,2021-03-12,Active,1698,Cleaned and Validated
edward9999@upi,cust108154,Kotak,Savings,2025-05-27,Active,161,Cleaned and Validated
daniel5557@upi,cust104398,Pnb,Current,2022-01-24,Active,1380,Cleaned and Validated
jane9931@upi,cust102572,Kotak,Savings,2023-07-19,Active,839,Cleaned and Validated
kelli8188@upi,cust109114,Hdfc,Current,2021-11-22,Active,1443,Cleaned and Validated
richard7140@upi,cust101143,Hdfc,Savings,2025-01-31,Active,277,Cleaned and Validated
john3258@upi,cust104719,Kotak,Credit_Card_Linked,2022-06-06,Active,1247,Cleaned and Validated
janet1834@upi,cust100613,Pnb,Credit_Card_Linked,2024-04-26,Active,557,Cleaned and Validated
miranda7342@upi,cust109751,Sbi,Current,2024-03-19,Active,595,Cleaned and Validated
cynthia7179@upi,cust108208,Sbi,Current,2025-05-11,Active,177,Cleaned and Validated
thomas5185@upi,cust103752,Hdfc,Savings,2022-08-17,Active,1175,Cleaned and Validated
steven5452@upi,cust105465,Kotak,Savings,2024-11-16,Active,353,Cleaned and Validated
adrian8230@upi,cust104386,Sbi,Savings,2025-02-03,Active,274,Cleaned and Validated
kayla7458@upi,cust108861,Hdfc,Savings,2024-12-04,Active,335,Cleaned and Validated
david2226@upi,cust102634,Axis,Credit_Card_Linked,2023-03-23,Active,957,Cleaned and Validated
dawn6073@upi,cust105812,Icici,Savings,2025-08-05,Active,91,Cleaned and Validated
wendy7774@upi,cust106009,Kotak,Current,2024-08-09,Suspended,452,Cleaned and Validated
pamela1045@upi,cust107012,Hdfc,Savings,2025-05-15,Active,173,Cleaned and Validated
wendy4843@upi,cust104096,Sbi,Savings,2023-09-21,Active,775,Cleaned and Validated
tracie8291@upi,cust102862,Kotak,Savings,2025-05-21,Active,167,Cleaned and Validated
briana9267@upi,cust100068,Icici,Savings,2025-04-17,Active,201,Cleaned and Validated
aaron1337@upi,cust106141,Kotak,Current,2025-03-28,Active,221,Cleaned and Validated
rachel1419@upi,cust107572,Hdfc,Current,2025-07-28,Active,99,Cleaned and Validated
patricia5568@upi,cust105649,Hdfc,Credit_Card_Linked,2023-12-28,Active,677,Cleaned and Validated
harry7131@upi,cust107115,Hdfc,Current,2025-01-26,Active,282,Cleaned and Validated
michael1612@upi,cust101884,Icici,Savings,2025-04-22,Active,196,Cleaned and Validated
yvonne9061@upi,cust103519,Hdfc,Credit_Card_Linked,2024-10-05,Active,395,Cleaned and Validated
michelle6214@upi,cust102952,Axis,Current,2021-04-25,Active,1654,Cleaned and Validated
theresa6822@upi,cust100239,Kotak,Savings,2025-06-28,Active,129,Cleaned and Validated
jessica4310@upi,cust101894,Axis,Savings,2022-12-28,Active,1042,Cleaned and Validated
keith1154@upi,cust106736,Hdfc,Current,2024-04-06,Suspended,577,Cleaned and Validated
jennifer7917@upi,cust108394,Pnb,Current,2025-08-03,Blocked,93,Cleaned and Validated
barbara8561@upi,cust108160,Sbi,Current,2024-06-18,Active,504,Cleaned and Validated
allison9010@upi,cust105366,Sbi,Savings,2024-04-03,Active,580,Cleaned and Validated
mario2023@upi,cust107176,Sbi,Savings,2025-05-24,Active,164,Cleaned and Validated
barbara6778@upi,cust108925,Axis,Savings,2021-12-17,Blocked,1418,Cleaned and Validated
samantha2438@upi,cust104543,Hdfc,Current,2023-02-09,Active,999,Cleaned and Validated
tiffany6070@upi,cust104313,Axis,Credit_Card_Linked,2023-12-14,Active,691,Cleaned and Validated
casey6187@upi,cust107127,Hdfc,Credit_Card_Linked,2022-10-02,Active,1129,Cleaned and Validated
lisa4198@upi,cust100749,Axis,Current,2025-05-12,Active,176,Cleaned and Validated
vincent8178@upi,cust105524,Kotak,Current,2022-04-17,Active,1297,Cleaned and Validated
mary7045@upi,cust101900,Pnb,Credit_Card_Linked,2025-06-03,Active,154,Cleaned and Validated
emily5221@upi,cust109902,Kotak,Current,2023-03-22,Active,958,Cleaned and Validated
