customer_id,full_name,mobile_number,age,valid_age,valid_gender,region,date_joined,is_business_user,risk_score,risk_check_flag,validation_status_flag,cleaning_status
cust100017,Sabrina Pierce,5000495765,41,OK,Female,east,08-03-2022,TRUE,0.09,OK,OK,Cleaned and Validated
cust100018,Evan Guzman,9875428343,60,OK,Female,south,29-10-2021,FALSE,0.21,OK,OK,Cleaned and Validated
cust100019,Douglas Lucero,3640525943,43,OK,Male,north,04-07-2022,FALSE,0.27,OK,OK,Cleaned and Validated
cust100020,Lauren Carlson,6148110045,37,OK,Female,central,23-01-2023,FALSE,0.07,OK,OK,Cleaned and Validated
cust100021,Brittany Mason,2225418942,43,OK,Female,south,23-01-2025,FALSE,0.34,OK,OK,Cleaned and Validated
cust100022,Thomas Johnson,2468203417,18,OK,Female,central,20-08-2024,FALSE,0.31,OK,OK,Cleaned and Validated
cust100023,Kimberly York,2470690059,53,OK,Male,central,14-04-2021,FALSE,0.26,OK,OK,Cleaned and Validated
cust100024,David Calderon,9137028587,54,OK,Male,east,31-03-2025,FALSE,0.31,OK,OK,Cleaned and Validated
cust100025,Courtney Edwards,8943018528,56,OK,Female,north,06-04-2024,FALSE,0.12,OK,OK,Cleaned and Validated
cust100026,Emily Schwartz,1198962246,70,OK,Female,central,09-06-2021,FALSE,0.19,OK,OK,Cleaned and Validated
cust100027,Norma Williams,2808141412,51,OK,Female,south,06-10-2025,FALSE,0.09,OK,OK,Cleaned and Validated
cust100028,Tracy Parks,6625729731,21,OK,Male,east,10-01-2022,FALSE,0.17,OK,OK,Cleaned and Validated
cust100029,Susan Guerrero,Unavailable,30,OK,Female,west,17-08-2021,FALSE,0.26,OK,Needs Review,Cleaned and Validated
cust100030,Joshua Nelson,5761396341,40,OK,Male,north,02-11-2025,FALSE,0.12,OK,OK,Cleaned and Validated
cust100031,Keith Smith,5946858501,57,OK,Female,east,22-10-2022,FALSE,0.15,OK,OK,Cleaned and Validated
cust100032,Eric Ross,3804983798,19,OK,Female,south,22-08-2022,FALSE,0.12,OK,OK,Cleaned and Validated
cust100033,Victoria Torres,3580696659,29,OK,Female,central,07-08-2023,FALSE,0.1,OK,OK,Cleaned and Validated
cust100034,Stephanie Goodman,6264219054,70,OK,Female,north,08-02-2024,FALSE,0.12,OK,OK,Cleaned and Validated
cust100035,Michael Torres,7804819615,61,OK,Male,north,12-05-2020,FALSE,0.2,OK,OK,Cleaned and Validated
cust100036,Christopher Page,9438335411,66,OK,Female,south,02-03-2024,FALSE,0.07,OK,OK,Cleaned and Validated
cust100037,Mary Mcdonald,4593686274,69,OK,Female,east,12-05-2024,FALSE,0.23,OK,OK,Cleaned and Validated
cust100038,Daniel Stuart,5634312979,28,OK,Male,central,28-02-2025,FALSE,0.4,OK,OK,Cleaned and Validated
cust100039,Lisa Green,5463134113,60,OK,Male,east,31-07-2022,FALSE,0.29,OK,OK,Cleaned and Validated
cust100040,Brett Lopez Jr.,8975419213,38,OK,Female,north,08-05-2022,TRUE,0.18,OK,OK,Cleaned and Validated
cust100041,James Jackson Ii,6374579131,42,OK,Male,south,28-10-2020,FALSE,0.09,OK,OK,Cleaned and Validated
cust100042,Shannon Flores,6220062809,34,OK,Female,central,29-06-2022,FALSE,0.11,OK,OK,Cleaned and Validated
cust100043,Joel Larsen,8204161307,56,OK,Male,north,13-10-2023,FALSE,0.4,OK,OK,Cleaned and Validated
cust100044,Melissa Singleton,4330992569,43,OK,Male,south,02-01-2024,FALSE,0.21,OK,OK,Cleaned and Validated
cust100045,Tracy Stein,6149142120,50,OK,Female,central,03-10-2025,FALSE,0.12,OK,OK,Cleaned and Validated
cust100046,Sarah Brown,5150280726,58,OK,Female,central,30-05-2024,FALSE,0.22,OK,OK,Cleaned and Validated
cust100047,Jill Doyle,1406045246,51,OK,Female,west,18-08-2024,FALSE,0.45,OK,OK,Cleaned and Validated
cust100048,Elizabeth Coleman,5586971278,69,OK,Male,west,15-07-2025,TRUE,0.21,OK,OK,Cleaned and Validated
cust100049,Sandy Haynes,5685165291,37,OK,Male,south,23-10-2020,FALSE,0.27,OK,OK,Cleaned and Validated
cust100050,Marilyn Edwards,5880812555,37,OK,Male,north,18-06-2023,FALSE,0.24,OK,OK,Cleaned and Validated
cust100051,Douglas Gibson,Unavailable,37,OK,Female,west,27-05-2022,FALSE,0.16,OK,Needs Review,Cleaned and Validated
cust100052,Maria Powell,8202439212,26,OK,Male,north,06-05-2024,FALSE,0.06,OK,OK,Cleaned and Validated
cust100053,Lisa Cain,1981132860,31,OK,Female,central,19-07-2023,FALSE,0.16,OK,OK,Cleaned and Validated
cust100054,Katelyn Aguirre,3675837146,70,OK,Female,central,08-07-2021,FALSE,0.17,OK,OK,Cleaned and Validated
cust100055,Patricia Robertson,8996057034,42,OK,Male,north,28-01-2024,FALSE,0.27,OK,OK,Cleaned and Validated
cust100056,Kimberly Short,4868869947,61,OK,Female,central,02-07-2022,FALSE,0.3,OK,OK,Cleaned and Validated
cust100057,Laurie Pierce,9056640110,24,OK,Female,west,07-06-2022,FALSE,0.31,OK,OK,Cleaned and Validated
cust100058,Robert Watson,1752620245,49,OK,Male,central,19-11-2024,FALSE,0.23,OK,OK,Cleaned and Validated
cust100059,Donna Cuevas,4657376611,36,OK,Male,south,29-03-2021,FALSE,0.31,OK,OK,Cleaned and Validated
cust100060,Crystal Johnson,6201690838,69,OK,Other,south,14-09-2022,FALSE,0.11,OK,OK,Cleaned and Validated
cust100061,Matthew Howe,2703161748,31,OK,Male,north,31-01-2023,FALSE,0.35,OK,OK,Cleaned and Validated
cust100062,Larry Mendoza,2846847839,53,OK,Male,central,04-12-2022,FALSE,0.26,OK,OK,Cleaned and Validated
cust100063,Mr. William Sandoval,4138443622,52,OK,Male,north,16-11-2021,TRUE,0.16,OK,OK,Cleaned and Validated
cust100064,Mark Berger,2644744737,28,OK,Male,central,06-07-2022,FALSE,0.26,OK,OK,Cleaned and Validated
cust100065,George Obrien,2085823597,66,OK,Male,central,30-12-2022,FALSE,0.19,OK,OK,Cleaned and Validated
cust100066,Stephen Hale,9213938946,41,OK,Male,north,26-03-2022,FALSE,0.34,OK,OK,Cleaned and Validated
cust100067,Samantha Short,5498601552,56,OK,Female,west,28-02-2021,FALSE,0.38,OK,OK,Cleaned and Validated
cust100068,Briana Berry,4534805012,53,OK,Female,east,23-03-2025,TRUE,0.46,OK,OK,Cleaned and Validated
cust100069,Nathan Vazquez,8515294619,22,OK,Male,south,09-12-2023,FALSE,0.03,OK,OK,Cleaned and Validated
cust100070,Kristy Nichols,8209812336,39,OK,Male,central,19-12-2021,FALSE,0.03,OK,OK,Cleaned and Validated
cust100071,Joshua Duffy,1518588890,42,OK,Male,central,09-09-2023,FALSE,0.14,OK,OK,Cleaned and Validated
cust100072,Carlos Jones,5422676192,23,OK,Female,east,12-10-2021,FALSE,0.22,OK,OK,Cleaned and Validated
cust100073,Rebecca Munoz,6817069645,54,OK,Female,north,21-08-2022,FALSE,0.31,OK,OK,Cleaned and Validated
cust100074,Amy Ruiz,9288584957,35,OK,Male,north,09-10-2024,FALSE,0.24,OK,OK,Cleaned and Validated
cust100075,Robert Allen,5654096665,18,OK,Female,north,24-01-2022,TRUE,0,OK,OK,Cleaned and Validated
cust100076,Jessica Lyons,8287519073,25,OK,Female,north,07-06-2022,FALSE,0.16,OK,OK,Cleaned and Validated
cust100077,Carrie Moran,3775736768,68,OK,Other,west,03-12-2021,FALSE,0.3,OK,OK,Cleaned and Validated
cust100078,Derek Martinez Jr.,2768422814,46,OK,Male,south,09-08-2020,FALSE,0.23,OK,OK,Cleaned and Validated
cust100079,Mark Fitzgerald,8362253188,24,OK,Male,west,25-05-2025,FALSE,0.29,OK,OK,Cleaned and Validated
cust100080,Kevin Palmer,3898136719,52,OK,Female,east,25-10-2023,FALSE,0.17,OK,OK,Cleaned and Validated
cust100081,Justin May,Unavailable,63,OK,Male,north,18-02-2024,FALSE,0.18,OK,Needs Review,Cleaned and Validated
cust100082,Joseph West,6374524942,38,OK,Male,north,07-01-2024,FALSE,0.22,OK,OK,Cleaned and Validated
cust100083,Monique Rogers,5649702243,36,OK,Female,east,30-07-2021,FALSE,0.25,OK,OK,Cleaned and Validated
cust100084,Kimberly Gonzalez,8763112006,38,OK,Male,north,07-05-2022,FALSE,0.22,OK,OK,Cleaned and Validated
cust100085,Leslie Anderson,4365234257,56,OK,Female,north,04-10-2023,FALSE,0.21,OK,OK,Cleaned and Validated
cust100086,Ronald Clark,9195749005,68,OK,Female,central,24-05-2021,FALSE,0.12,OK,OK,Cleaned and Validated
cust100087,Thomas Short,3886136829,48,OK,Female,east,13-11-2021,FALSE,0.25,OK,OK,Cleaned and Validated
cust100088,Bryan Harris,3402883646,31,OK,Male,south,08-03-2022,FALSE,0.21,OK,OK,Cleaned and Validated
cust100089,Michael Bass Jr.,3685311067,70,OK,Male,west,15-07-2021,TRUE,0.34,OK,OK,Cleaned and Validated
cust100090,Jonathan Boone,3591507092,54,OK,Female,south,19-01-2025,FALSE,0.34,OK,OK,Cleaned and Validated
cust100091,Teresa Harrison,6894645708,37,OK,Male,south,05-02-2025,FALSE,0.22,OK,OK,Cleaned and Validated
cust100092,Alicia Torres,8419566809,55,OK,Female,east,07-03-2023,FALSE,0.15,OK,OK,Cleaned and Validated
cust100093,Joseph Garcia,Unavailable,24,OK,Female,central,03-11-2025,FALSE,0.12,OK,Needs Review,Cleaned and Validated
cust100094,Tammy Browning,2916586554,23,OK,Male,north,22-08-2023,FALSE,0.25,OK,OK,Cleaned and Validated
cust100095,Arthur Mccoy,9911246124,43,OK,Male,central,05-08-2023,FALSE,0.21,OK,OK,Cleaned and Validated
cust100096,Cynthia Garcia,3818554820,64,OK,Male,north,21-10-2022,FALSE,0.16,OK,OK,Cleaned and Validated
cust100097,Paul Johnson,Unavailable,68,OK,Male,west,19-06-2025,FALSE,0.21,OK,Needs Review,Cleaned and Validated
cust100098,Mikayla Ellis,9530070248,27,OK,Male,east,16-10-2020,TRUE,0.13,OK,OK,Cleaned and Validated
cust100099,Stephen Warren,3743785561,60,OK,Male,south,27-07-2021,FALSE,0.28,OK,OK,Cleaned and Validated
cust100100,Michael Phillips,Unavailable,70,OK,Female,east,18-12-2020,FALSE,0.15,OK,Needs Review,Cleaned and Validated
cust100101,Michael Brock,9724849698,50,OK,Female,central,21-11-2021,FALSE,0.35,OK,OK,Cleaned and Validated
cust100102,Larry Williams,8737526601,31,OK,Male,north,17-05-2022,FALSE,0.25,OK,OK,Cleaned and Validated
cust100103,Alejandra Walton,5549031511,70,OK,Female,central,27-03-2021,FALSE,0.27,OK,OK,Cleaned and Validated
cust100104,Tina Lawson,9544668713,65,OK,Other,south,19-08-2022,FALSE,0.07,OK,OK,Cleaned and Validated
cust100105,Andrew Allen,3924504772,45,OK,Female,north,21-12-2023,FALSE,0.22,OK,OK,Cleaned and Validated
cust100106,Jacob Spencer,9484604171,60,OK,Male,north,02-06-2023,FALSE,0.29,OK,OK,Cleaned and Validated
cust100107,Nicole Curry,Unavailable,46,OK,Female,central,27-06-2025,FALSE,0.09,OK,Needs Review,Cleaned and Validated
cust100108,Aaron Brown,Unavailable,46,OK,Female,west,08-05-2021,TRUE,0.17,OK,Needs Review,Cleaned and Validated
cust100109,Juan King,Unavailable,39,OK,Male,west,29-05-2023,TRUE,0.2,OK,Needs Review,Cleaned and Validated
cust100110,Anna Lopez,Unavailable,59,OK,Female,central,19-11-2020,TRUE,0.04,OK,Needs Review,Cleaned and Validated
cust100111,Curtis Perez,Unavailable,62,OK,Male,south,19-03-2024,FALSE,0.24,OK,Needs Review,Cleaned and Validated
cust100112,Erika Howard,3752913164,26,OK,Male,east,04-04-2023,FALSE,0.3,OK,OK,Cleaned and Validated
cust100113,Tara Fischer,5567805242,43,OK,Male,north,02-08-2022,FALSE,0.1,OK,OK,Cleaned and Validated
cust100114,Joshua Acosta,2194355247,18,OK,Male,east,21-02-2022,FALSE,0.24,OK,OK,Cleaned and Validated
cust100115,Joshua Mercado,2780035585,59,OK,Female,south,19-11-2024,FALSE,0.04,OK,OK,Cleaned and Validated
cust100116,Lori Wade,Unavailable,49,OK,Female,south,25-10-2021,FALSE,0.2,OK,Needs Review,Cleaned and Validated
cust100117,Crystal Roberts,3584223149,39,OK,Female,east,24-02-2023,FALSE,0.01,OK,OK,Cleaned and Validated
cust100118,Kimberly Berger,7285361433,32,OK,Male,north,29-05-2024,FALSE,0.33,OK,OK,Cleaned and Validated
cust100119,Daniel Martin,1933173952,59,OK,Female,south,21-06-2023,FALSE,0.25,OK,OK,Cleaned and Validated
cust100120,Megan Galloway,8005785271,68,OK,Female,east,24-02-2023,FALSE,0.2,OK,OK,Cleaned and Validated
cust100121,Taylor Santiago,1756141502,37,OK,Female,east,19-02-2025,FALSE,0.11,OK,OK,Cleaned and Validated
cust100122,Dennis Roth,4240166934,62,OK,Female,central,18-05-2022,TRUE,0.35,OK,OK,Cleaned and Validated
cust100123,Krystal Johnston,5165893672,25,OK,Female,central,10-04-2024,FALSE,0.44,OK,OK,Cleaned and Validated
cust100124,Dana Cross,8879758297,29,OK,Male,west,08-01-2022,FALSE,0,OK,OK,Cleaned and Validated
cust100125,Nathaniel Rivas,5055738417,54,OK,Female,north,20-05-2024,FALSE,0.35,OK,OK,Cleaned and Validated
cust100126,Christopher Ramos,2977093907,43,OK,Female,east,13-11-2023,FALSE,0.4,OK,OK,Cleaned and Validated
cust100127,Victoria Chaney,2522984386,28,OK,Female,north,12-08-2022,FALSE,0.24,OK,OK,Cleaned and Validated
cust100128,Emily Meyer,2051668297,23,OK,Female,north,11-04-2022,FALSE,0.06,OK,OK,Cleaned and Validated
cust100129,Helen Clark,6276277890,23,OK,Female,south,13-07-2023,FALSE,0.3,OK,OK,Cleaned and Validated
cust100130,Leslie Freeman,4208018375,57,OK,Female,north,20-10-2022,FALSE,0.18,OK,OK,Cleaned and Validated
cust100131,Ashley Brown,5812686978,33,OK,Female,west,05-04-2021,FALSE,0.13,OK,OK,Cleaned and Validated
cust100132,Wesley Carr,1160725854,45,OK,Male,east,08-02-2022,FALSE,0.05,OK,OK,Cleaned and Validated
cust100133,Mitchell Turner,4217272718,57,OK,Female,south,18-03-2021,FALSE,0.27,OK,OK,Cleaned and Validated
cust100134,Zachary Snyder,9757683238,56,OK,Female,north,08-05-2021,FALSE,0.3,OK,OK,Cleaned and Validated
cust100135,Danielle Norman,5559963435,35,OK,Male,central,08-01-2022,TRUE,0.13,OK,OK,Cleaned and Validated
cust100136,Mckenzie Thompson,3319563416,30,OK,Female,central,08-12-2020,TRUE,0.26,OK,OK,Cleaned and Validated
cust100137,Robert Crane,2665884332,58,OK,Female,south,06-01-2021,FALSE,0.06,OK,OK,Cleaned and Validated
cust100138,Tracey Thomas,6259592052,31,OK,Male,south,22-09-2021,FALSE,0.3,OK,OK,Cleaned and Validated
cust100139,Leslie Johnson,9235245167,35,OK,Male,east,28-09-2020,FALSE,0.21,OK,OK,Cleaned and Validated
cust100140,Craig Allen,8311165179,46,OK,Female,south,18-03-2023,FALSE,0.18,OK,OK,Cleaned and Validated
cust100141,Mary Thomas,6583312330,49,OK,Male,north,19-10-2021,FALSE,0.19,OK,OK,Cleaned and Validated
cust100142,Richard Alexander,Unavailable,54,OK,Female,south,07-09-2023,FALSE,0.3,OK,Needs Review,Cleaned and Validated
cust100143,Jesse Barker,1316205224,24,OK,Female,north,19-09-2020,FALSE,0.29,OK,OK,Cleaned and Validated
cust100144,Karen Christensen,9812869863,65,OK,Male,east,25-02-2025,FALSE,0.26,OK,OK,Cleaned and Validated
cust100145,Karen Gross,9951151319,66,OK,Female,south,01-11-2021,TRUE,0.22,OK,OK,Cleaned and Validated
cust100146,Susan Young,9684609049,41,OK,Female,east,26-12-2022,FALSE,0.21,OK,OK,Cleaned and Validated
cust100147,Terry Booth,4827749925,61,OK,Male,central,22-02-2023,FALSE,0.27,OK,OK,Cleaned and Validated
cust100148,Olivia Estrada,7340127154,25,OK,Male,west,27-10-2024,FALSE,0.23,OK,OK,Cleaned and Validated
cust100149,William Suarez,7077958520,52,OK,Male,central,14-04-2023,FALSE,0.28,OK,OK,Cleaned and Validated
cust100150,Lisa Brown,8096115999,59,OK,Female,west,27-03-2025,FALSE,0.16,OK,OK,Cleaned and Validated
cust100151,Levi Moreno,9101884328,18,OK,Other,central,05-06-2021,FALSE,0,OK,OK,Cleaned and Validated
cust100152,Ann Gomez,4931940069,65,OK,Female,central,06-03-2025,FALSE,0.32,OK,OK,Cleaned and Validated
cust100153,Jennifer Pittman,6655822330,47,OK,Female,central,06-03-2022,FALSE,0.46,OK,OK,Cleaned and Validated
cust100154,Erica Robinson,1790744432,65,OK,Female,east,16-01-2024,FALSE,0.25,OK,OK,Cleaned and Validated
cust100155,Andrew Tate,3714963851,46,OK,Female,central,11-02-2021,FALSE,0.19,OK,OK,Cleaned and Validated
cust100156,Brian Crawford Dds,Unavailable,51,OK,Male,west,15-10-2023,FALSE,0.18,OK,Needs Review,Cleaned and Validated
cust100157,Devon Larson,2884081574,43,OK,Male,central,05-06-2024,FALSE,0.19,OK,OK,Cleaned and Validated
cust100158,Robert Russell,2867380606,64,OK,Female,north,08-07-2023,FALSE,0.2,OK,OK,Cleaned and Validated
cust100159,Andrew Gibson,Unavailable,65,OK,Male,east,12-12-2022,FALSE,0.07,OK,Needs Review,Cleaned and Validated
cust100160,Gabriel Mack,9333448549,44,OK,Female,south,13-08-2020,FALSE,0.14,OK,OK,Cleaned and Validated
cust100161,Dr. Richard Hernandez,6322891563,43,OK,Female,south,21-05-2021,FALSE,0.08,OK,OK,Cleaned and Validated
cust100162,James Rodriguez,7511131878,70,OK,Female,north,20-11-2022,FALSE,0.23,OK,OK,Cleaned and Validated
cust100163,Carol Reynolds,4389444544,34,OK,Female,west,30-10-2020,FALSE,0.16,OK,OK,Cleaned and Validated
cust100164,Lori Wyatt,5741313032,52,OK,Male,west,17-09-2023,FALSE,0.26,OK,OK,Cleaned and Validated
cust100165,Mary Johnson,2803210259,49,OK,Male,central,01-06-2021,TRUE,0.18,OK,OK,Cleaned and Validated
cust100166,Chloe Smith,6688874127,50,OK,Male,central,30-05-2023,FALSE,0.32,OK,OK,Cleaned and Validated
cust100167,Luke Fox,5606978102,40,OK,Male,west,16-05-2023,TRUE,0.23,OK,OK,Cleaned and Validated
cust100168,Kimberly Vargas,4809438882,50,OK,Female,south,29-09-2021,FALSE,0.46,OK,OK,Cleaned and Validated
cust100169,Christopher Barrett,1096723971,43,OK,Female,east,06-11-2025,FALSE,0,OK,OK,Cleaned and Validated
cust100170,Shelley Brown,8569374656,31,OK,Female,south,24-07-2025,FALSE,0.12,OK,OK,Cleaned and Validated
cust100171,Jamie Oliver,1069707137,35,OK,Male,central,05-08-2022,FALSE,0.31,OK,OK,Cleaned and Validated
cust100172,George Johnson,6473760841,47,OK,Female,north,01-10-2022,FALSE,0.5,OK,OK,Cleaned and Validated
cust100173,Bradley Garrett,2756771979,59,OK,Female,central,01-04-2021,FALSE,0.17,OK,OK,Cleaned and Validated
cust100174,Amy Ramirez,7950753350,57,OK,Female,west,15-09-2020,FALSE,0.21,OK,OK,Cleaned and Validated
cust100175,Jennifer Holder,2507898206,29,OK,Male,east,14-09-2021,FALSE,0.17,OK,OK,Cleaned and Validated
cust100176,Megan Mata,6668647590,39,OK,Female,east,26-12-2020,FALSE,0.36,OK,OK,Cleaned and Validated
cust100177,Nicole Martin,8892467457,63,OK,Male,north,12-11-2024,FALSE,0.17,OK,OK,Cleaned and Validated
cust100178,Donna Howard,4624947027,57,OK,Male,west,22-02-2021,FALSE,0.28,OK,OK,Cleaned and Validated
cust100179,James Thompson,Unavailable,33,OK,Female,south,22-02-2021,TRUE,0.16,OK,Needs Review,Cleaned and Validated
cust100180,Shelley Mayer,7856669422,64,OK,Male,central,17-11-2024,FALSE,0.05,OK,OK,Cleaned and Validated
cust100181,Guy Bennett,1837359823,64,OK,Male,east,02-02-2022,FALSE,0.24,OK,OK,Cleaned and Validated
cust100182,Brenda Ross,1053236789,28,OK,Male,south,16-12-2021,FALSE,0.26,OK,OK,Cleaned and Validated
cust100183,Gail Olson,Unavailable,46,OK,Male,west,26-12-2021,FALSE,0.36,OK,Needs Review,Cleaned and Validated
cust100184,Jennifer Weaver,1673152906,63,OK,Male,east,13-10-2023,TRUE,0.19,OK,OK,Cleaned and Validated
cust100185,Ray Lin,9085609716,32,OK,Male,west,17-08-2022,FALSE,0.13,OK,OK,Cleaned and Validated
cust100186,Keith Ibarra,5260248962,29,OK,Male,central,15-07-2024,TRUE,0.27,OK,OK,Cleaned and Validated
cust100187,Edward Shepherd,9625276982,66,OK,Male,north,02-10-2023,FALSE,0.23,OK,OK,Cleaned and Validated
cust100188,Lisa Blevins,Unavailable,51,OK,Female,central,10-05-2024,FALSE,0.23,OK,Needs Review,Cleaned and Validated
cust100189,Sarah Mcdonald,Unavailable,60,OK,Female,north,09-02-2022,FALSE,0.19,OK,Needs Review,Cleaned and Validated
cust100190,Ashley Kirby,2897259689,29,OK,Male,west,12-08-2023,FALSE,0.34,OK,OK,Cleaned and Validated
cust100191,Scott Galvan,1710048499,46,OK,Male,south,30-04-2025,FALSE,0.24,OK,OK,Cleaned and Validated
cust100192,Judy Wilson,8057162415,33,OK,Female,west,11-09-2021,FALSE,0.43,OK,OK,Cleaned and Validated
cust100193,Erin Oliver,7526569714,42,OK,Male,east,11-09-2020,FALSE,0.33,OK,OK,Cleaned and Validated
cust100194,Jose Gonzalez,5407826718,55,OK,Male,south,08-04-2024,FALSE,0.28,OK,OK,Cleaned and Validated
cust100195,Daniel Simmons,3234555492,20,OK,Male,north,30-09-2020,FALSE,0,OK,OK,Cleaned and Validated
cust100196,John Norman,3431655310,38,OK,Female,central,04-05-2025,FALSE,0.27,OK,OK,Cleaned and Validated
cust100197,Gary Norton,9459163975,30,OK,Male,south,17-06-2024,FALSE,0.25,OK,OK,Cleaned and Validated
cust100198,Ashley Schmidt,8746690162,19,OK,Male,south,04-01-2024,FALSE,0.3,OK,OK,Cleaned and Validated
cust100199,Thomas Santiago,2734804424,52,OK,Male,west,17-09-2024,FALSE,0.33,OK,OK,Cleaned and Validated
cust100200,Karen Graham,4894744244,23,OK,Male,east,08-04-2024,FALSE,0.15,OK,OK,Cleaned and Validated
cust100201,Chase Hughes,Unavailable,20,OK,Female,central,27-07-2024,FALSE,0.3,OK,Needs Review,Cleaned and Validated
cust100202,Lori Nguyen,5863810507,20,OK,Female,north,21-09-2020,FALSE,0.13,OK,OK,Cleaned and Validated
cust100203,Shirley Campbell,Unavailable,30,OK,Male,south,08-04-2025,FALSE,0.43,OK,Needs Review,Cleaned and Validated
cust100204,Kevin Tucker,5623871663,61,OK,Female,south,15-11-2021,FALSE,0.04,OK,OK,Cleaned and Validated
cust100205,Andrew Norman,6414072483,42,OK,Male,east,23-03-2021,FALSE,0,OK,OK,Cleaned and Validated
cust100206,Krista Bradley,1429312968,59,OK,Female,south,06-06-2023,TRUE,0,OK,OK,Cleaned and Validated
cust100207,Thomas Fleming,2066323197,68,OK,Female,east,18-04-2023,FALSE,0.09,OK,OK,Cleaned and Validated
cust100208,Maxwell Wright,9424594833,62,OK,Female,central,13-04-2023,FALSE,0.07,OK,OK,Cleaned and Validated
cust100209,Daniel Jackson,9364434600,40,OK,Female,central,30-11-2024,FALSE,0.43,OK,OK,Cleaned and Validated
cust100210,Teresa Turner,3444792952,52,OK,Male,north,18-07-2022,FALSE,0.16,OK,OK,Cleaned and Validated
cust100211,Bernard Snyder,5097666597,65,OK,Female,north,24-05-2024,FALSE,0.04,OK,OK,Cleaned and Validated
cust100212,Shannon Roberts,5966160693,24,OK,Male,south,26-02-2021,FALSE,0.33,OK,OK,Cleaned and Validated
cust100213,Michael Reyes,5587267920,20,OK,Male,north,02-11-2023,FALSE,0.13,OK,OK,Cleaned and Validated
cust100214,Pamela Wilson,3042212964,50,OK,Male,east,06-03-2024,TRUE,0.05,OK,OK,Cleaned and Validated
cust100215,Steven Nielsen,6872917331,38,OK,Male,central,01-04-2024,TRUE,0.31,OK,OK,Cleaned and Validated
cust100216,Collin Austin,9515842976,60,OK,Male,west,07-06-2024,FALSE,0.27,OK,OK,Cleaned and Validated
cust100217,Michelle Walker,6653786592,46,OK,Male,central,11-08-2020,FALSE,0.15,OK,OK,Cleaned and Validated
cust100218,Wanda Roy,5527387849,34,OK,Female,north,20-08-2021,FALSE,0.37,OK,OK,Cleaned and Validated
cust100219,Diane Collier,3470630449,42,OK,Male,east,25-08-2021,FALSE,0.22,OK,OK,Cleaned and Validated
cust100220,Peter Nguyen,Unavailable,26,OK,Male,west,26-09-2020,FALSE,0.39,OK,Needs Review,Cleaned and Validated
cust100221,Mary Price,Unavailable,61,OK,Male,west,11-07-2021,FALSE,0.26,OK,Needs Review,Cleaned and Validated
cust100222,Melissa Hunt,3086373233,50,OK,Female,east,31-03-2023,FALSE,0.39,OK,OK,Cleaned and Validated
cust100223,Maria Evans,3341900951,50,OK,Female,central,25-07-2024,FALSE,0.21,OK,OK,Cleaned and Validated
cust100224,Joy Miller,5573671650,26,OK,Female,west,01-07-2022,FALSE,0.05,OK,OK,Cleaned and Validated
cust100225,Jacqueline Horne,4243553000,53,OK,Female,central,18-02-2024,FALSE,0.49,OK,OK,Cleaned and Validated
cust100226,Erika Reeves,1302654706,52,OK,Male,east,23-02-2021,FALSE,0.13,OK,OK,Cleaned and Validated
cust100227,Nicole Perez,Unavailable,30,OK,Male,central,13-05-2021,FALSE,0.18,OK,Needs Review,Cleaned and Validated
